GENESIS-Tabelle: 21111-9k21
Kommunalprofil: Schulen, Schüler/-innen,;;;;;;;;;;;;;;;;;;
Schulabgänger/-innen und Lehrkräfte an allgemeinbildende;;;;;;;;;;;;;;;;;;
Schulen;;;;;;;;;;;;;;;;;;
Statistik der allgemeinbildenden Schulen;;;;;;;;;;;;;;;;;;
;;;;;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform;Schulform
;;;;;Insgesamt;Grundschulen;Hauptschulen;Volksschulen;Förderschulen Grund-/Hauptschulen;Förderschulen Realschulen/Gymnasien;Realschulen;PRIMUS-Schulen;Sekundarschulen;Gesamtschulen;Gemeinschaftsschulen;Freie Waldorfschulen;Gymnasien;Weiterbildungskollegs
Nordrhein-Westfalen;2022/23;Schulen;;Anzahl;5023;2794;164;1;482;2;373;5;115;362;1;57;624;43
Nordrhein-Westfalen;2021/22;Schulen;;Anzahl;5025;2787;174;1;478;2;379;5;114;358;1;58;623;45
Nordrhein-Westfalen;2020/21;Schulen;;Anzahl;5041;2786;186;1;477;2;387;5;116;352;1;58;623;47
Nordrhein-Westfalen;2019/20;Schulen;;Anzahl;5049;2783;196;1;472;2;393;5;114;346;7;58;624;48
Nordrhein-Westfalen;2018/19;Schulen;;Anzahl;5129;2781;243;1;476;2;429;5;114;340;7;57;625;49
Nordrhein-Westfalen;2017/18;Schulen;;Anzahl;5272;2787;318;1;485;2;487;5;113;334;8;57;625;50
Nordrhein-Westfalen;2016/17;Schulen;;Anzahl;5450;2812;403;1;502;2;538;5;117;327;8;56;626;53
Nordrhein-Westfalen;2015/16;Schulen;;Anzahl;5591;2845;456;1;550;2;559;5;114;314;10;55;625;55
Nordrhein-Westfalen;2014/15;Schulen;;Anzahl;5729;2882;493;1;625;2;563;5;109;306;10;53;625;55
Nordrhein-Westfalen;2013/14;Schulen;;Anzahl;5829;2944;535;1;668;2;566;1;84;281;12;53;627;55
Nordrhein-Westfalen;2012/13;Schulen;;Anzahl;5902;3028;575;1;691;2;564;-;42;252;12;53;627;55
Nordrhein-Westfalen;2011/12;Schulen;;Anzahl;5932;3086;608;1;693;2;564;-;-;232;12;52;627;55
Nordrhein-Westfalen;2010/11;Schulen;;Anzahl;6038;3173;640;1;701;2;563;-;-;225;-;52;626;55
Nordrhein-Westfalen;2009/10;Schulen;;Anzahl;6119;3223;671;1;704;2;559;-;-;221;-;52;630;56
Nordrhein-Westfalen;2008/09;Schulen;;Anzahl;6189;3266;703;2;706;2;557;-;-;218;-;50;629;56
Nordrhein-Westfalen;2007/08;Schulen;;Anzahl;6309;3368;718;2;708;2;557;-;-;218;-;50;630;56
Nordrhein-Westfalen;2006/07;Schulen;;Anzahl;6365;3421;725;2;712;2;555;-;-;217;-;49;627;55
Nordrhein-Westfalen;2005/06;Schulen;;Anzahl;6387;3442;730;2;709;2;555;-;-;217;-;49;626;55
Nordrhein-Westfalen;2022/23;Schüler/-innen;Insgesamt;Anzahl;1970040;688205;49140;245;83855;420;198975;2865;54465;351175;45;19285;506775;14600
Nordrhein-Westfalen;2021/22;Schüler/-innen;Insgesamt;Anzahl;1924265;657720;49040;265;81915;410;199565;2665;54240;343460;95;19165;499080;16640
Nordrhein-Westfalen;2020/21;Schüler/-innen;Insgesamt;Anzahl;1919595;647225;52410;280;80160;435;203010;2570;58620;335805;170;19105;501395;18410
Nordrhein-Westfalen;2019/20;Schüler/-innen;Insgesamt;Anzahl;1916925;641220;57205;290;79280;435;205115;2505;60805;326100;3255;18950;502585;19185
Nordrhein-Westfalen;2018/19;Schüler/-innen;Insgesamt;Anzahl;1925633;636863;62827;277;77481;443;210609;2338;60730;319587;3423;18751;511957;20347
