Kreis,Gemeinde,lat,lon,source,display_name
Ennepe-Ruhr-Kreis,Breckerfeld,51.2603083,7.4667789,q1,"Breckerfeld, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58339, Deutschland"
Ennepe-Ruhr-Kreis,Ennepetal,51.2967192,7.3693335,q1,"Ennepetal, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58256, Deutschland"
Ennepe-Ruhr-Kreis,Gevelsberg,51.3207417,7.3404792,q1,"Gevelsberg, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58285, Deutschland"
Ennepe-Ruhr-Kreis,Hattingen,51.4007175,7.1862486,q1,"Hattingen, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, Deutschland"
Ennepe-Ruhr-Kreis,Herdecke,51.4069127,7.4278278,q1,"Herdecke, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, Deutschland"
Ennepe-Ruhr-Kreis,Schwelm,51.2841166,7.2924712,q1,"Schwelm, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58332, Deutschland"
Ennepe-Ruhr-Kreis,Sprockhoevel,51.3666572,7.2485905,q1,"Sprockhövel, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 45549, Deutschland"
Ennepe-Ruhr-Kreis,Wetter (Ruhr),51.3879463,7.3951553,q1,"Wetter (Ruhr), Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58300, Deutschland"
Ennepe-Ruhr-Kreis,Witten,51.4370171,7.335124,q1,"Witten, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, Deutschland"
Hochsauerlandkreis,Arnsberg,51.4002384,8.0605908,q1,"Arnsberg, Hochsauerlandkreis, Nordrhein-Westfalen, Deutschland"
Hochsauerlandkreis,Bestwig,51.3609508,8.4005554,q1,"Bestwig, Hochsauerlandkreis, Nordrhein-Westfalen, 59909, Deutschland"
Hochsauerlandkreis,Brilon,51.3955721,8.5677743,q1,"Brilon, Hochsauerlandkreis, Nordrhein-Westfalen, 59929, Deutschland"
Hochsauerlandkreis,Eslohe (Sauerland),51.2546768,8.1714439,q1,"Eslohe, Hochsauerlandkreis, Nordrhein-Westfalen, 59889, Deutschland"
Hochsauerlandkreis,Hallenberg,51.1096147,8.6201021,q1,"Hallenberg, Hochsauerlandkreis, Nordrhein-Westfalen, 59969, Deutschland"
Hochsauerlandkreis,Marsberg,51.4602168,8.8552071,q1,"Marsberg, Hochsauerlandkreis, Nordrhein-Westfalen, 34431, Deutschland"
Hochsauerlandkreis,Medebach,51.1974918,8.7044753,q1,"Medebach, Hochsauerlandkreis, Nordrhein-Westfalen, 59964, Deutschland"
Hochsauerlandkreis,Meschede,51.3436532,8.2859257,q1,"Meschede, Hochsauerlandkreis, Nordrhein-Westfalen, 59872, Deutschland"
Hochsauerlandkreis,Olsberg,51.355148,8.4893388,q1,"Olsberg, Hochsauerlandkreis, Nordrhein-Westfalen, 59939, Deutschland"
Hochsauerlandkreis,Schmallenberg,51.1525937,8.2836014,q1,"Schmallenberg, Hochsauerlandkreis, Nordrhein-Westfalen, 57392, Deutschland"
Hochsauerlandkreis,Sundern (Sauerland),51.329832,8.0072645,q1,"Sundern, Hochsauerlandkreis, Nordrhein-Westfalen, 59846, Deutschland"
Hochsauerlandkreis,Winterberg,51.1933391,8.5334064,q1,"Winterberg, Hochsauerlandkreis, Nordrhein-Westfalen, 59955, Deutschland"
Kreis Borken,Ahaus,52.0761541,7.004876,q1,"Ahaus, Kreis Borken, Nordrhein-Westfalen, 48683, Deutschland"
Kreis Borken,Bocholt,51.8382715,6.6148669,q1,"Bocholt, Kreis Borken, Nordrhein-Westfalen, Deutschland"
Kreis Borken,Borken,51.8444777,6.8583277,q1,"Borken, Kreis Borken, Nordrhein-Westfalen, 46325, Deutschland"
Kreis Borken,Gescher,51.956874,7.0038803,q1,"Gescher, Kreis Borken, Nordrhein-Westfalen, 48712, Deutschland"
Kreis Borken,Gronau (Westf.),52.2085731,7.0264443,q1,"Gronau, Kreis Borken, Nordrhein-Westfalen, 48599, Deutschland"
Kreis Borken,Heek,52.1242301,7.1011759,q1,"Heek, Kreis Borken, Nordrhein-Westfalen, 48619, Deutschland"
Kreis Borken,Heiden,51.8265212,6.9340589,q1,"Heiden, Kreis Borken, Nordrhein-Westfalen, 46359, Deutschland"
Kreis Borken,Isselburg,51.8344194,6.4614134,q1,"Isselburg, Kreis Borken, Nordrhein-Westfalen, 46419, Deutschland"
Kreis Borken,Legden,52.0306058,7.1057295,q1,"Legden, Kreis Borken, Nordrhein-Westfalen, 48739, Deutschland"
Kreis Borken,Raesfeld,51.7693754,6.8382379,q1,"Raesfeld, Kreis Borken, Nordrhein-Westfalen, 46348, Deutschland"
Kreis Borken,Reken,51.8311002,7.0441764,q1,"Reken, Kreis Borken, Nordrhein-Westfalen, 48734, Deutschland"
Kreis Borken,Rhede,51.8363135,6.696091,q1,"Rhede, Kreis Borken, Nordrhein-Westfalen, 46414, Deutschland"
Kreis Borken,Schoeppingen,52.0926043,7.2369135,q1,"Schöppingen, Kreis Borken, Nordrhein-Westfalen, 48624, Deutschland"
Kreis Borken,Stadtlohn,51.9928346,6.9173072,q1,"Stadtlohn, Kreis Borken, Nordrhein-Westfalen, 48703, Deutschland"
Kreis Borken,Suedlohn,51.9446284,6.8657729,q1,"Südlohn, Kreis Borken, Nordrhein-Westfalen, 46354, Deutschland"
Kreis Borken,Velen,51.8957136,6.9839073,q1,"Velen, Kreis Borken, Nordrhein-Westfalen, 46342, Deutschland"
Kreis Borken,Vreden,52.035862,6.8236481,q1,"Vreden, Kreis Borken, Nordrhein-Westfalen, 48691, Deutschland"
Kreis Coesfeld,Ascheberg,51.7886689,7.6196825,q1,"Ascheberg, Kreis Coesfeld, Nordrhein-Westfalen, 59387, Deutschland"
Kreis Coesfeld,Billerbeck,51.9773625,7.290923,q1,"Billerbeck, Kreis Coesfeld, Nordrhein-Westfalen, 48727, Deutschland"
Kreis Coesfeld,Coesfeld,51.9458943,7.1691108,q1,"Coesfeld, Kreis Coesfeld, Nordrhein-Westfalen, 48653, Deutschland"
Kreis Coesfeld,Duelmen,51.8283677,7.2791406,q1,"Dülmen, Kreis Coesfeld, Nordrhein-Westfalen, 48249, Deutschland"
Kreis Coesfeld,Havixbeck,51.9750878,7.4135736,q1,"Havixbeck, Kreis Coesfeld, Nordrhein-Westfalen, 48329, Deutschland"
Kreis Coesfeld,Luedinghausen,51.7717757,7.444639,q1,"Lüdinghausen, Kreis Coesfeld, Nordrhein-Westfalen, 59348, Deutschland"
Kreis Coesfeld,Nordkirchen,51.7380176,7.5251792,q1,"Nordkirchen, Kreis Coesfeld, Nordrhein-Westfalen, 59394, Deutschland"
Kreis Coesfeld,Nottuln,51.9296679,7.3532741,q1,"Nottuln, Kreis Coesfeld, Nordrhein-Westfalen, 48301, Deutschland"
Kreis Coesfeld,Olfen,51.7076224,7.3788047,q1,"Olfen, Kreis Coesfeld, Nordrhein-Westfalen, 59399, Deutschland"
Kreis Coesfeld,Rosendahl,52.0202372,7.196971,q1,"Rosendahl, Kreis Coesfeld, Nordrhein-Westfalen, 48720, Deutschland"
Kreis Coesfeld,Senden,51.8549598,7.4883046,q1,"Senden, Kreis Coesfeld, Nordrhein-Westfalen, 48308, Deutschland"
Kreis Dueren,Aldenhoven,50.8962734,6.2827943,q1,"Aldenhoven, Kreis Düren, Nordrhein-Westfalen, 52457, Deutschland"
Kreis Dueren,Dueren,50.8031684,6.4820806,q1,"Düren, Kreis Düren, Nordrhein-Westfalen, Deutschland"
Kreis Dueren,Heimbach,50.6344223,6.4765746,q1,"Heimbach, Kreis Düren, Nordrhein-Westfalen, 52396, Deutschland"
Kreis Dueren,Huertgenwald,50.7126569,6.3711778,q1,"Hürtgenwald, Kreis Düren, Nordrhein-Westfalen, 52393, Deutschland"
Kreis Dueren,Inden,50.8629537,6.3679576,q1,"Inden, Kreis Düren, Nordrhein-Westfalen, 52459, Deutschland"
Kreis Dueren,Juelich,50.9220931,6.3611015,q1,"Jülich, Kreis Düren, Nordrhein-Westfalen, 52428, Deutschland"
Kreis Dueren,Kreuzau,50.7468554,6.4893293,q1,"Kreuzau, Kreis Düren, Nordrhein-Westfalen, 52372, Deutschland"
Kreis Dueren,Langerwehe,50.801983,6.3681233,q1,"Langerwehe, Kreis Düren, Nordrhein-Westfalen, 52379, Deutschland"
Kreis Dueren,Linnich,50.9806294,6.2676208,q1,"Linnich, Kreis Düren, Nordrhein-Westfalen, 52441, Deutschland"
Kreis Dueren,Merzenich,50.8281277,6.5245079,q1,"Merzenich, Kreis Düren, Nordrhein-Westfalen, 52399, Deutschland"
Kreis Dueren,Nideggen,50.6913559,6.482614,q1,"Nideggen, Kreis Düren, Nordrhein-Westfalen, 52385, Deutschland"
Kreis Dueren,Niederzier,50.8833,6.46667,q1,"Niederzier, Kreis Düren, Nordrhein-Westfalen, 52382, Deutschland"
Kreis Dueren,Noervenich,50.8064333,6.6409632,q1,"Nörvenich, Kreis Düren, Nordrhein-Westfalen, 52388, Deutschland"
Kreis Dueren,Titz,51.0075203,6.4270178,q1,"Titz, Kreis Düren, Nordrhein-Westfalen, 52445, Deutschland"
Kreis Dueren,Vettweiss,50.7390509,6.5975269,q1,"Vettweiß, Kreis Düren, Nordrhein-Westfalen, 52391, Deutschland"
Kreis Euskirchen,Bad Muenstereifel,50.5545674,6.7636511,q1,"Bad Münstereifel, Kreis Euskirchen, Nordrhein-Westfalen, 53902, Deutschland"
Kreis Euskirchen,Blankenheim,50.4367928,6.6507388,q1,"Blankenheim, Kreis Euskirchen, Nordrhein-Westfalen, 53945, Deutschland"
Kreis Euskirchen,Dahlem,50.3863687,6.5464403,q1,"Dahlem, Kreis Euskirchen, Nordrhein-Westfalen, 53949, Deutschland"
Kreis Euskirchen,Euskirchen,50.66129,6.7871681,q1,"Euskirchen, Kreis Euskirchen, Nordrhein-Westfalen, Deutschland"
Kreis Euskirchen,Hellenthal,50.490997,6.435434,q1,"Hellenthal, Kreis Euskirchen, Nordrhein-Westfalen, 53940, Deutschland"
Kreis Euskirchen,Kall,50.5410021,6.5555751,q1,"Kall, Kreis Euskirchen, Nordrhein-Westfalen, 53925, Deutschland"
Kreis Euskirchen,Mechernich,50.5909999,6.6525479,q1,"Mechernich, Kreis Euskirchen, Nordrhein-Westfalen, 53894, Deutschland"
Kreis Euskirchen,Nettersheim,50.4913647,6.6288859,q1,"Nettersheim, Kreis Euskirchen, Nordrhein-Westfalen, 53947, Deutschland"
Kreis Euskirchen,Schleiden,50.5285919,6.4761556,q1,"Schleiden, Kreis Euskirchen, Nordrhein-Westfalen, 53937, Deutschland"
Kreis Euskirchen,Weilerswist,50.7580669,6.8407873,q1,"Weilerswist, Kreis Euskirchen, Nordrhein-Westfalen, 53919, Deutschland"
Kreis Euskirchen,Zuelpich,50.6922459,6.6472694,q1,"Zülpich, Kreis Euskirchen, Nordrhein-Westfalen, 53909, Deutschland"
Kreis Guetersloh,Borgholzhausen,52.1007247,8.3023897,q1,"Borgholzhausen, Kreis Gütersloh, Nordrhein-Westfalen, 33829, Deutschland"
Kreis Guetersloh,Guetersloh,51.9166621,8.4043282,q1,"Gütersloh, Kreis Gütersloh, Nordrhein-Westfalen, Deutschland"
Kreis Guetersloh,Halle (Westf.),52.0447282,8.3391899,q1,"Halle (Westf.), Kreis Gütersloh, Nordrhein-Westfalen, 33790, Deutschland"
Kreis Guetersloh,Harsewinkel,51.9617153,8.2252425,q1,"Harsewinkel, Kreis Gütersloh, Nordrhein-Westfalen, 33428, Deutschland"
Kreis Guetersloh,Herzebrock-Clarholz,51.8993207,8.2249038,q1,"Herzebrock-Clarholz, Kreis Gütersloh, Nordrhein-Westfalen, 33442, Deutschland"
Kreis Guetersloh,Langenberg,51.7755438,8.3158987,q1,"Langenberg, Kreis Gütersloh, Nordrhein-Westfalen, 33449, Deutschland"
