Schulnummer,Schulname,Schulform,Adresse,PLZ,Gemeinde,lat,lon,source
100000,"Bochum, WBK KOL Studienkolleg",Weiterbildungskolleg,"Girondelle, Girondelle 80",44799,Bochum,51.45473382496077,7.2466661715997525,ogc-api-nrw
100010,"Köln, Gym Gymnasium Claudia Agrippina",Gymnasium,"Stolberger Str., Stolberger Str. 112",50933,Köln,50.942171528308336,6.897017373118707,ogc-api-nrw
100011,"Haan, GE Walder Straße",Gesamtschule,"Walder Str., Walder Str. 15",42781,Haan,51.19332652224788,7.017391556924394,ogc-api-nrw
100012,"Leverkusen, GG Am Friedenspark",Grundschule,"Netzestr., Netzestr. 12",51371,Leverkusen,51.05994454808761,6.953222982461719,ogc-api-nrw
100014,"Herne, GG Kolibri-Schule",Grundschule,"Jean-Vogel-Str., Jean-Vogel-Str. 36",44625,Herne,51.5283164110719,7.224247650705774,ogc-api-nrw
100015,"Düsseldorf, Gym Wim-Wenders",Gymnasium,"Schmiedestr., Schmiedestr. 25",40227,Düsseldorf,51.21083630156683,6.805803865481173,ogc-api-nrw
100016,"Stolberg, GE Kupferstädter",Gesamtschule,"Breslauer Str., Breslauer Str. 1",52222,Stolberg (Rhld.),50.78223077571873,6.227247982515128,ogc-api-nrw
100017,"Hürth, GG Bonnstraße",Grundschule,"Bonnstr., Bonnstr. 109",50354,Hürth,50.88003478345326,6.883197628106646,ogc-api-nrw
100018,"Essen, FW Schellstraße",Waldorfschule,"Schellstr., Schellstr. 47",45134,Essen,51.41488616720634,7.029305136444026,ogc-api-nrw
100019,"Kleve, GE Joseph Beuys",Gesamtschule,"Ackerstr., Ackerstr. 80",47533,Kleve,51.78012085133348,6.123004498634171,ogc-api-nrw
100020,"Düsseldorf, KG Kartause-Hain-Schule",Grundschule,"Unterrather Str., Unterrather Str. 76",40468,Düsseldorf,51.27500041458586,6.783118163917975,ogc-api-nrw
100021,"Tönisvorst, GE Rupert-Neudeck",Gesamtschule,"Corneliusstr., Corneliusstr. 25",47918,Tönisvorst,51.31686777195521,6.485940376240698,ogc-api-nrw
100022,"Medebach, SK Medebach-Winterberg",Sekundarschule,"Schützenstr., Schützenstr. 12",59964,Medebach,51.1942764590833,8.701027915804662,ogc-api-nrw
100023,"Lengerich, GE Lengerich/Tecklenburg",Gesamtschule,"Bahnhofstr., Bahnhofstr. 114",49525,Lengerich,52.182098833988924,7.869015853106885,ogc-api-nrw
100024,"Gronau, GE Euregioschule",Gesamtschule,"Gildehauser Damm, Gildehauser Damm 49",48599,Gronau (Westf.),52.186165712374844,7.040683541770002,ogc-api-nrw
100025,"Sendenhorst, GE Teigelkamp",Gesamtschule,"Teigelkamp, Teigelkamp 5",48324,Sendenhorst,51.84042424961268,7.833746518642972,ogc-api-nrw
100026,"Bad Driburg, GG Schule unter der Iburg",Grundschule,"Jahnstr., Jahnstr. 12",33014,Bad Driburg,51.73448808266994,9.015161618989527,ogc-api-nrw
100027,"Münster, FÖ SL Kompass-Schule",Förderschule,"Bröderichweg, Bröderichweg 36",48159,Münster,51.99289614670009,7.61636657181525,ogc-api-nrw
100028,"Essen, RS im Bezirk Zollverein",Realschule,"Gelsenkirchener Str., Gelsenkirchener Str. 138 a",45309,Essen,51.48461132961693,7.04557202324793,ogc-api-nrw
100029,"Oberhausen,GG Schule a. d. Oranienstraße",Grundschule,"Oranienstr., Oranienstr. 57",46147,Oberhausen,51.53912788201337,6.811447270931203,ogc-api-nrw
100032,"Brühl, GG (Verb.) Regenbogenschule",Grundschule,"Kaiserstr., Kaiserstr. 158",50321,Brühl,50.836528252524516,6.890493465277283,ogc-api-nrw
100033,"Schleiden, RS Clara-Fey-Schule",Realschule,"Malmedyer Str., Malmedyer Str. 2",53937,Schleiden,50.53128907974141,6.482215201750368,ogc-api-nrw
100035,"Detmold, BK August-Hermann-Francke",Berufskolleg,"Georgstr., Georgstr. 24",32756,Detmold,51.94998041967195,8.87752997362146,ogc-api-nrw
100036,"Köln, GE Gesamtschule Helios",Gesamtschule,"Overbeckstr., Overbeckstr. 71-73",50823,Köln,50.95561000913762,6.927794603745337,ogc-api-nrw
100037,"Bochum, BK Matthias-Claudius-Schule",Berufskolleg,"Weitmarer Str., Weitmarer Str. 115b",44795,Bochum,51.45545131892097,7.189163033534447,ogc-api-nrw
100038,"Lüdenscheid, GG Wefelshohl",Grundschule,"Gustavstr., Gustavstr. 35",58511,Lüdenscheid,51.212403179289105,7.6549384620557275,ogc-api-nrw
